regime,sim_seed,init_seed,model,metric,value
linear,2016,125,AR,DA,0.04216867469879518
linear,2016,125,MIDAS,RMSE,1.3134220533710834
linear,2016,125,MIDAS,MAE,1.0359529742055307
linear,2016,125,MIDAS,DA,0.49096385542168675
linear,2016,125,AB1,RMSE,1.1907592264068623
linear,2016,125,AB1,MAE,0.9562634849751699
linear,2016,125,AB1,DA,0.5421686746987951
linear,2016,125,AB2,RMSE,1.330217172031055
linear,2016,125,AB2,MAE,1.0704662101777376
linear,2016,125,AB2,DA,0.47289156626506024
linear,2016,125,AB3,RMSE,1.167778768810902
linear,2016,125,AB3,MAE,0.9405565279350222
linear,2016,125,AB3,DA,0.5542168674698795
linear,2016,125,AB4,RMSE,1.322872136082369
linear,2016,125,AB4,MAE,1.0675890301220954
linear,2016,125,AB4,DA,0.4578313253012048
linear,2016,125,AB5,RMSE,1.1962790098893064
linear,2016,125,AB5,MAE,0.9565059038844966
linear,2016,125,AB5,DA,0.5240963855421686
linear,2017,125,MPTE,RMSE,1.361750841397528
linear,2017,125,MPTE,MAE,1.090077209578935
linear,2017,125,MPTE,DA,0.42771084337349397
linear,2017,125,AR,RMSE,1.352321505198643
linear,2017,125,AR,MAE,1.079303065957951
linear,2017,125,AR,DA,0.03614457831325301
linear,2017,125,MIDAS,RMSE,1.2665860149697872
linear,2017,125,MIDAS,MAE,1.0265130753207352
linear,2017,125,MIDAS,DA,0.6234939759036144
linear,2017,125,AB1,RMSE,1.3674689545846421
linear,2017,125,AB1,MAE,1.0967006953628309
linear,2017,125,AB1,DA,0.5903614457831325
linear,2017,125,AB2,RMSE,1.1794349221853515
linear,2017,125,AB2,MAE,0.9663595068777808
linear,2017,125,AB2,DA,0.6536144578313253
linear,2017,125,AB3,RMSE,1.2140711273953368
linear,2017,125,AB3,MAE,0.9933799359834532
linear,2017,125,AB3,DA,0.6174698795180723
linear,2017,125,AB4,RMSE,1.316735199312374
linear,2017,125,AB4,MAE,1.0701694904525352
linear,2017,125,AB4,DA,0.5813253012048193
linear,2017,125,AB5,RMSE,1.1967723013073863
linear,2017,125,AB5,MAE,0.9819415840323363
linear,2017,125,AB5,DA,0.6174698795180723
linear,2018,125,MPTE,RMSE,1.2949625405805925
linear,2018,125,MPTE,MAE,1.0315419104912187
linear,2018,125,MPTE,DA,0.5120481927710844
linear,2018,125,AR,RMSE,1.2953588604531516
linear,2018,125,AR,MAE,1.0316496179624526
linear,2018,125,AR,DA,0.045180722891566265
linear,2018,125,MIDAS,RMSE,1.2920635735428068
linear,2018,125,MIDAS,MAE,1.0375929230142154
linear,2018,125,MIDAS,DA,0.5602409638554217
linear,2018,125,AB1,RMSE,1.0812830751051528
linear,2018,125,AB1,MAE,0.8510715412747767
linear,2018,125,AB1,DA,0.5933734939759037
linear,2018,125,AB2,RMSE,1.0911430004350307
linear,2018,125,AB2,MAE,0.870273099601926
linear,2018,125,AB2,DA,0.6656626506024096
linear,2018,125,AB3,RMSE,1.0553997879369612
linear,2018,125,AB3,MAE,0.8539153191877338
linear,2018,125,AB3,DA,0.6024096385542169
linear,2018,125,AB4,RMSE,1.2944673717187352
linear,2018,125,AB4,MAE,1.030992408041323
linear,2018,125,AB4,DA,0.5301204819277109
linear,2018,125,AB5,RMSE,1.0970007868646603
linear,2018,125,AB5,MAE,0.8637512016412948
linear,2018,125,AB5,DA,0.5692771084337349
